intent,context,question
agree,general,cậu biết ý tớ đó
agree,general,câu trả lời thật là bổ ích
agree,general,câu trả lời thật là bổ ích đó ạ
agree,general,chắc là vậy
agree,general,chắc thế
agree,general,chắc vậy
agree,general,chuẩn
agree,general,chuẩn không cần chỉnh
agree,general,chuẩn lắm
agree,general,chuẩn rồi ạ
agree,general,có lẽ
agree,general,có lẽ vậy á
agree,general,đồng ý
agree,general,đúng đó ạ
agree,general,đúng rồi
agree,general,đúng ý mình rồi
agree,general,được
agree,general,duyệt
agree,general,mình hiểu ra rồi
agree,general,mình hiểu ra rồi
agree,general,nó đó
agree,general,ờ
agree,general,ờ đúng ý tôi rồi
agree,general,ờ tôi hiểu
agree,general,ờ ý tôi là vậy đó
agree,general,ok
agree,general,ok chuẩn
agree,general,ok duyệt
agree,general,ok phải rồi đó
agree,general,ok quá chuẩn luôn
agree,general,phải rồi
agree,general,tớ biết rồi
agree,general,tớ biết rồi ạ
agree,general,tớ đồng ý ạ
agree,general,tôi đồng ý
agree,general,"tốt, đúng ý tôi"
agree,general,ừ
agree,general,ừ được rồi
agree,general,ừ nó đó
agree,general,ừ ok
agree,general,ừa
agree,general,ừa đúng rồi
agree,general,ừa hehe
agree,general,ừm đúng á
agree,general,ừm đúng rồi
agree,general,ừm hihi
apply,cpp,Cho mình hỏi con trỏ hàm được sử dụng như thế nào trong C++ ạ?
apply,cpp,Cho mình mảng con trỏ trong C++ dùng để làm gì?
apply,cpp,Cho tớ hỏi hàm inline dùng để làm gì trong C++
apply,cpp,Cho tớ hỏi khi nào nên sử dụng static data member trong C++ ạ?
apply,cpp,"Mình muốn biết trong C++, namespace được sử dụng khi nào?"
apply,cpp,Mình muốn hỏi template hàm có ứng dụng gì trong lập trình C++?
apply,cpp,Tớ có thắc mắc không biết STL dùng để làm  gì trong C++
apply,cpp,Tớ muốn biết khi nào thì cần dùng con trỏ hàm trong C++?
apply,cpp,Tớ muốn biết kiểu tham chiếu có ứng dụng gì trong C++
apply,cpp,Tôi có thắc mắc set có ứng dụng gì trong C++?
apply,cpp,Tôi muốn biết map trong C++ có ứng dụng gì?
apply,cpp,"Trong C++, hàm sprintf được sử dụng trong trường hợp nào?"
apply,cpp,"Trong C++, kiểu tham chiếu được dùng khi nào?"
apply,cpp,Ứng dụng con trỏ hàm trong C++ là gì?
apply,general,Biến được sử dụng thế nào?
apply,general,C++ dùng để làm gì?
apply,general,Cách sử dụng biến
apply,general,Cách sử dụng hàm?
apply,general,Cách xài con trỏ
apply,general,Cách xài hàm
apply,general,Cho hỏi cách sử dụng con trỏ
apply,general,"Cho mình hỏi, khi nào chúng ta cần dùng deep copy?"
apply,general,Hàm được dùng như thế nào?
apply,general,Khi nào cần dùng hàm?
apply,general,Khi nào nên sử dụng namespace?
apply,general,Khi nào chúng ta sử dụng hàm hủy ảo (virtual destructor)?
apply,general,Mình có thắc mắc hàm tạo copy được sử dụng trong trường hợp nào?
apply,general,python có ứng dụng gì?
apply,general,Python dùng để làm gì?
apply,general,Trong trường hợp nào nên sử dụng tham chiếu?
apply,general,ứng dụng C++
apply,general,Ứng dụng của hàm là gì?
apply,general,ứng dụng python là gì?
apply,py,Cách khai báo hàm trong python?
apply,py,cách xài hàm trong python
apply,py,"Cho mình hỏi, khi nào nên dùng list trong python?"
apply,py,hãy cho biết cách sử dụng hàm trong python
apply,py,Hãy cho tớ biết ứng dụng của dict trong python là gì?
apply,py,"Hãy cho tôi biết trong python, ký tự tab có chức năng gì?"
apply,py,Hãy cho tôi biết ứng dụng của bytesarray trong python là  gì?
apply,py,Khi nào cần dùng hàm input trong python?
apply,py,Khi nào ta nên dùng kiểu int trong python?
apply,py,Khi nào thì mình nên viết hàm trong python?
apply,py,Kiểu int trong python dùng để làm gì?
apply,py,Kiểu từ điển trong python dùng để làm gì?
apply,py,Làm sao sử dụng hàm trong python?
apply,py,"Mình có thắc mắc trong python, khi nào cần sử dụng string?"
apply,py,"Mình muốn biết trong python, từ khóa while dùng để làm gì?"
apply,py,"Tớ có thắc mắc trong python, kiểu float dùng để làm gì?"
